Hit_res,Multi_scatter,noise_rate,efficency_err,epsilon,phi_range,theta_range,primary_verticies,event_count,ghost_rate_metrics,clone_fraction_metrics,reconstruction_efficiency_metrics,hit_efficiency_metrics,purity_metrics,total_rec_tracks_metrics,total_truth_tracks_metrics,ghost_tracks_metrics,clones_count_metrics,metrics
0.002,0.0004,0.01,0.02,1.999999333368585e-06,0.2,0.2,"[[0, 0, -0.5477077895648671]]",1,0.0,0.0,1.0,0.755102040816326,1.0,10,10,[],0,
0.002,0.0004,0.01,0.04,1.999999333368585e-06,0.2,0.2,"[[0, 0, 1.438670457812677]]",1,0.0,0.0,1.0,0.7916666666666661,1.0,10,10,[],0,
0.002,0.0004,0.02,0.0,1.999999333368585e-06,0.2,0.2,"[[0, 0, -0.13355441385437]]",1,0.0,0.0,1.0,0.8200000000000001,1.0,10,10,[],0,
0.002,0.0004,0.02,0.1,1.999999333368585e-06,0.2,0.2,"[[0, 0, -0.7708416572577721]]",1,0.0,0.0,0.8,0.622222222222222,1.0,8,10,[],0,
0.002,0.0004,0.02,0.02,1.999999333368585e-06,0.2,0.2,"[[0, 0, 1.737963006165693]]",1,0.0,0.0,1.0,0.7959183673469381,1.0,10,10,[],0,
0.002,0.0004,0.02,0.04,1.999999333368585e-06,0.2,0.2,"[[0, 0, -0.414415414243457]]",1,0.0,0.0,1.0,0.875,1.0,10,10,[],0,
0.002,0.0004,0.04,0.0,1.999999333368585e-06,0.2,0.2,"[[0, 0, -2.528053276657597]]",1,0.0,0.0,1.0,0.86,1.0,10,10,[],0,
0.002,0.0004,0.04,0.1,1.999999333368585e-06,0.2,0.2,"[[0, 0, 0.016079720254968]]",1,0.0,0.0,1.0,0.7333333333333331,1.0,10,10,[],0,
0.002,0.0004,0.04,0.02,1.999999333368585e-06,0.2,0.2,"[[0, 0, 0.005791124388737001]]",1,0.0,0.0,0.8,0.612244897959183,1.0,8,10,[],0,
0.002,0.0004,0.04,0.04,1.999999333368585e-06,0.2,0.2,"[[0, 0, -1.205506842126208]]",1,0.0,0.0,1.0,0.7916666666666661,1.0,10,10,[],0,
0.004,0,0.01,0.0,1.124999789103853e-06,0.2,0.2,"[[0, 0, 1.17709822379537]]",1,0.0,0.0,1.0,0.98,1.0,10,10,[],0,
0.004,0,0.01,0.1,1.124999789103853e-06,0.2,0.2,"[[0, 0, 1.458915244793118]]",1,0.0,0.0,1.0,1.0,1.0,10,10,[],0,
0.004,0,0.01,0.02,1.124999789103853e-06,0.2,0.2,"[[0, 0, -0.8474706223185081]]",1,0.0,0.0,1.0,1.0,1.0,10,10,[],0,
0.004,0,0.01,0.04,1.124999789103853e-06,0.2,0.2,"[[0, 0, 0.7792636378351451]]",1,0.0,0.0,1.0,0.9791666666666661,1.0,10,10,[],0,
0.004,0,0.02,0.0,1.124999789103853e-06,0.2,0.2,"[[0, 0, -0.7054452243569791]]",1,0.0,0.0,1.0,0.98,1.0,10,10,[],0,
0.004,0,0.02,0.1,1.124999789103853e-06,0.2,0.2,"[[0, 0, 0.46618921378421]]",1,0.0,0.0,1.0,1.0,1.0,10,10,[],0,
0.004,0,0.02,0.02,1.124999789103853e-06,0.2,0.2,"[[0, 0, 0.565779276406808]]",1,0.0,0.0,1.0,1.0,1.0,10,10,[],0,
0.004,0,0.02,0.04,1.124999789103853e-06,0.2,0.2,"[[0, 0, 1.283631507236256]]",1,0.0,0.0,1.0,1.0,1.0,10,10,[],0,
0.004,0,0.04,0.0,1.124999789103853e-06,0.2,0.2,"[[0, 0, 1.252125459997059]]",1,0.0,0.0,1.0,1.0,1.0,10,10,[],0,
0.004,0,0.04,0.1,1.124999789103853e-06,0.2,0.2,"[[0, 0, -0.34013531282943504]]",1,0.0,0.0,1.0,1.0,1.0,10,10,[],0,
0.004,0,0.04,0.02,1.124999789103853e-06,0.2,0.2,"[[0, 0, 0.7928354796672341]]",1,0.0,0.0,1.0,1.0,1.0,10,10,[],0,
0.004,0,0.04,0.04,1.124999789103853e-06,0.2,0.2,"[[0, 0, 1.11031971347357]]",1,0.0,0.0,1.0,1.0,1.0,10,10,[],0,
0.004,0.002,0.01,0.0,4.999958333473665e-05,0.2,0.2,"[[0, 0, 0.458617319541519]]",1,0.0,0.0,0.30000000000000004,0.14,1.0,3,10,[],0,
0.004,0.002,0.01,0.1,4.999958333473665e-05,0.2,0.2,"[[0, 0, 0.922158691185553]]",1,0.0,0.0,0.1,0.044444444444444,1.0,1,10,[],0,
0.004,0.002,0.01,0.02,4.999958333473665e-05,0.2,0.2,"[[0, 0, -0.8835222438214181]]",1,0.0,0.0,0.0,0.0,0.0,0,10,[],0,
0.004,0.002,0.01,0.04,4.999958333473665e-05,0.2,0.2,"[[0, 0, -0.149355878413643]]",1,0.0,0.0,0.2,0.125,1.0,2,10,[],0,
0.004,0.002,0.02,0.0,4.999958333473665e-05,0.2,0.2,"[[0, 0, -0.477379783032285]]",1,0.0,0.0,0.0,0.0,0.0,0,10,[],0,
0.004,0.002,0.02,0.1,4.999958333473665e-05,0.2,0.2,"[[0, 0, 0.844957127981479]]",1,0.0,0.0,0.1,0.022222222222222,1.0,1,10,[],0,
0.004,0.002,0.02,0.02,4.999958333473665e-05,0.2,0.2,"[[0, 0, 0.47984405211871306]]",1,0.0,0.0,0.0,0.0,0.0,0,10,[],0,
0.004,0.002,0.02,0.04,4.999958333473665e-05,0.2,0.2,"[[0, 0, 0.725856483727027]]",1,0.0,0.0,0.1,0.0625,1.0,1,10,[],0,
0.004,0.002,0.04,0.0,4.999958333473665e-05,0.2,0.2,"[[0, 0, 1.088320421886438]]",1,0.0,0.0,0.1,0.06,1.0,1,10,[],0,
0.004,0.002,0.04,0.1,4.999958333473665e-05,0.2,0.2,"[[0, 0, -0.824440422582811]]",1,0.0,0.0,0.0,0.0,0.0,0,10,[],0,
0.004,0.002,0.04,0.02,4.999958333473665e-05,0.2,0.2,"[[0, 0, -0.39322859724511705]]",1,0.0,0.0,0.0,0.0,0.0,0,10,[],0,
0.004,0.002,0.04,0.04,4.999958333473665e-05,0.2,0.2,"[[0, 0, 0.942401883304917]]",1,0.0,0.0,0.0,0.0,0.0,0,10,[],0,
0.004,0.0002,0.01,0.0,1.124999789103853e-06,0.2,0.2,"[[0, 0, 0.7555356005732191]]",1,0.0,0.0,1.0,0.9,1.0,10,10,[],0,
0.004,0.0002,0.01,0.1,1.124999789103853e-06,0.2,0.2,"[[0, 0, 0.996013384319091]]",1,0.0,0.0,1.0,0.955555555555555,1.0,10,10,[],0,
0.004,0.0002,0.01,0.02,1.124999789103853e-06,0.2,0.2,"[[0, 0, -0.752956429443816]]",1,0.0,0.0,1.0,0.897959183673469,1.0,10,10,[],0,
0.004,0.0002,0.01,0.04,1.124999789103853e-06,0.2,0.2,"[[0, 0, 1.480075374636045]]",1,0.0,0.0,1.0,0.9375,1.0,10,10,[],0,
0.004,0.0002,0.02,0.0,1.124999789103853e-06,0.2,0.2,"[[0, 0, 0.6676661582756731]]",1,0.0,0.0,1.0,0.9400000000000001,1.0,10,10,[],0,
0.004,0.0002,0.02,0.1,1.124999789103853e-06,0.2,0.2,"[[0, 0, 0.921201297589447]]",1,0.0,0.0,1.0,0.9111111111111111,1.0,10,10,[],0,
